"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"Bosnia and Herzegovina,""BIH"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""16"",""18"",""47"",""73"",""115"",""140"",""280"",""308"",""318"",""363"",""379"",""372"",""1088"",""1242"",""992"",""877"",""1018"",""1150"",""1243"",""1313"",""1286"",""1142"",""1130.1"",""1187.9"",""1275"","""","""","
"Belarus,""BLR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""25510"",""26018"",""30636"",""30370"",""30529"",""31425"",""29727"",""34169"",""38402"",""40331"",""43559"",""45723"",""47933"",""48994"",""42742"",""46224"",""49406"",""48351"",""43818"",""44997"",""40785"",""41107"",""48538"",""52574"",""48205"","""","""","
"Belize,""BLZ"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bermuda,""BMU"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bolivia,""BOL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Brazil,""BRA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7446.1"",""9393.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Barbados,""BRB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Brunei Darussalam,""BRN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bhutan,""BTN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Botswana,""BWA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""626"",""794"",""795"",""1111"",""1282"",""1037"",""747"",""715"",""893"",""674"",""674"",""674"",""674"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Central African Republic,""CAF"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Canada,""CAN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""245625"",""269458"",""256145"",""265707"",""283842"",""291518"",""288701"",""300424"",""327812"",""337953"",""341514"",""347922"",""334824"",""294786"",""332635"",""347824"",""368297"",""386266"",""414069"",""412985"",""396806"",""420143"",""445546"",""433139"","""","""","
"Central Europe and the Baltics,""CEB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8595"",""8103"",""8622"",""8265"",""7849"",""8918"",""8557"",""9767"",""10113"",""10488"",""10639"",""10418"",""10137"",""9874"",""7673"",""8809"",""9118"",""9230"",""9722"",""10158"",""10009.615"",""10527.534"",""11344.565"",""10584.08"",""10624.909"","""","""","
"Switzerland,""CHE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8856"",""8031"",""8836"",""9411"",""9831"",""11080"",""11172"",""10746"",""10598"",""11489"",""11677"",""12466"",""11952"",""12265"",""10565"",""11074"",""11526"",""11061"",""11812"",""12313"",""12431"",""12447"",""11665"",""11776"",""11673"","""","""","
"Channel Islands,""CHI"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Chile,""CHL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3833.633027"",""4118.699224"",""4089.738747"",""3981.463012"",""4103.932874"",""4085.724617"",""4076.755917"",""3770"",""3816"",""3079"","""","""","
"China,""CHN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1304950"",""1310620"",""1326990"",""1256010"",""1291030"",""1377050"",""1469410"",""1565840"",""1724670"",""1928880"",""2072600"",""2195441"",""2379700"",""2510628"",""2523917"",""2764413"",""2946579"",""2918709"",""2917390"",""2753020"",""2375430"",""2379230"",""2696220"",""2882100"","""","""","""","
"Cote d'Ivoire,""CIV"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""58"",""186"",""505"",""530"",""537"",""523"",""699"",""606"",""129"",""501"",""675"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Cameroon,""CMR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""812"",""607"",""869"",""837"",""612"",""1063"",""1159"",""1162"",""1062"",""1114"",""1119"",""1136.385798"",""1055"",""978"",""1018.255942"",""1081.346693"",""1056.962047"","""","""","""","""","""",""841.569"",""812.416"","""","""","""","
"Congo, Dem. Rep.,""COD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""251"",""318"",""262"",""365"",""326"",""362"",""409"",""430"",""403"",""491"",""427"",""323"",""299"",""275"",""152"",""193"",""158"",""170"",""174"",""148"",""133"",""174"",""194"",""188.0536"",""158"","""","""","
"Congo, Rep.,""COG"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""267"",""289"",""139"",""135"",""20"",""85"",""228"",""307"",""247"",""231"",""264"",""237"",""224"",""253"",""257"","""","""","""","""","""","""","""","""","""","""","""","""","
